"Console","GameName","Review","Score"
"Baldur's Gate 4 Early Access R","Baldur's Gate 3 Early Access Review","Very Good","6"
"NS","Control: Ultimate Edition Cloud Version Review","Great","7"
"XONE, PC, PS4","Doom Eternal: The Ancient Gods Part 1 Review","Great","7"
"XBOX","Ring Of Pain Review","Great","7"
"XBOX","Pikmin 3 Deluxe Review","Great","7"
"PC, XONE, PS4","Ghostrunner Review","Great","7"
"PC, NS","Disc Room Review – Getting Buzzed","Super","8"
"XONE, PS4","NHL 21 Review","Excellent","9"
"PC","Noita Review","Great","7"
"PC","Amnesia: Rebirth Review","Super","8"
"PC, PS4","Genshin Impact Review – Direct Hit","Great","7"
"PC, XONE, PS4, NS","Ikenfell Review","Very Good","6"
"NS","Ring Fit Adventure Review: One Year Later","Super","8"
"XONE, PC, PS4","Star Wars: Squadrons Review – Catch Me If You Can","Great","7"
"NS, NS","Mario Kart Live: Home Circuit Review – Making Tracks","Great","7"
"PC","I Am Dead Review – Staying Alive","Great","7"
"PS4","FIFA 21 Review – A Goal Bonanza","Super","8"
"NS","Super Mario Bros. 35 Review – Mario Royale","Great","7"
"PC","The Solitaire Conspiracy Review – Jack Of All Trades","Great","7"
"XONE, PS4","Crash Bandicoot 4 Review – Platformer's Delight","Super","8"
"NS","Kirby Fighters 2 Review – 2 Kirby 2 Furious","Very Good","6"
"PC","Pendragon Review – Endless Legends","Very Good","6"
"PC","Serious Sam 4 Review – The Fourth Encounter","Great","7"
"PS4","NBA 2K21 Review – Ball Another Day","Very Good","6"
"PC","Crusader Kings 3 Review – Pass the Duchy","Super","8"
"PS4","Spelunky 2 Review –  Snakes On A 2D Plane","Super","8"
"PC","Mafia: Definitive Edition Review – An Offer You Could Probably Refuse","Very Good","6"
"PC","Surgeon Simulator 2 Review – Surgical Imprecision","Very Good","6"
"PC, NS","Hades Review – The Long, Hard Road Out of Hell","Excellent","9"
"PS4","13 Sentinels: Aegis Rim Review – Wow, Cool Robot!","Excellent","9"
"NS","Super Mario 3D All-Stars Review – Shoot For The Stars","Super","8"
"PC","Road To Guangdong Review – Are We There Yet?","Very Bad","2"
"PC, PS4, XONE, NS","Vampire: The Masquerade - Shadows Of New York Review","Very Good","6"
"PS4","Othercide Review – Mother, May I","Super","8"
"PC","Marvel's Avengers Review – Infinity War","Great","7"
"XONE, PC","Tell Me Why Review","Great","7"
"NS","Moon Review – The Bright Side","Super","8"
"PC","Star Renegades Review – The Heat Of The Moment","Super","8"
"NS","The Last Campfire Review – One Step At A Time","Super","8"
"PS4, XONE","Tony Hawk's Pro Skater 1 + 2 Review – I'm A Superman","Excellent","9"
"PC, NS","Paradise Killer Review","Excellent","9"
"PC, PS4, NS","Evergate Review – Ever Great","Super","8"
"PS4","Madden 21 Review – Feels More Like An Update","Very Good","6"
"PC, NS","A Short Hike Review","Excellent","9"
"PS4, PC, XONE","Project Cars 3 Review – Into The Horizon","Great","7"
"PC","Control AWE DLC Review – Haunted Oldest House","Very Good","6"
"PS4","Windbound Review – Against The Wind","Good","5"
"PC","Thousand Threads Review -- Post Secrets","Good","5"
"PC","Spiritfarer Review – Purrrgatory","Excellent","9"
"PC, NS","No Straight Roads Review – Bangers And Smash","Great","7"
"PC","Microsoft Flight Simulator Review – Max Altitude","Excellent","9"
"IOS","Next Stop Nowhere Review – Bugs On The Windshield","Bad","3"
"PS4","PGA Tour 2K21 Review – For Purists And Newcomers Alike","Super","8"
"PC","Dead By Daylight Review (2020) – Toying With Terror","Excellent","9"
"PC","Mortal Shell Review – Stone Souls","Super","8"
"PC","Skater XL Review – Too Little To Skate","Good","5"
"PC","Battletoads Review – Middle-Aged Cartoon Alien Toads","Very Good","6"
"PC, XONE","Hyper Scape Review – 'Scape From The City","Very Good","6"
"PC","A Total War Saga: Troy Review - My Kingdom For A Centaur","Great","7"
"PC","Risk Of Rain 2 Review","Super","8"
"PC, PS4","Fall Guys: Ultimate Knockout Review - Major Chaos","Great","7"
"PC","Skully Review","Good","5"
"PC","Umurangi Generation Review - Cyberpunk Snap","Excellent","9"
"PC","Littlewood Review - Big Heart","Super","8"
"PS4","Horizon Zero Dawn Review","Excellent","9"
"XONE, PC","Grounded Early Access Review - Little Acorns","Very Good","6"
"PC","Desperados 3 Review - Revolvers And Redos","Excellent","9"
"PC","Rock Of Ages 3: Make & Break Review - Let's Roll","Great","7"
"PC, IOS","Beyond A Steel Sky Review - Foster The Future","Good","5"
"NS","Panzer Paladin Review","Super","8"
"XONE","Maid Of Sker Review - Backtracking Trip","Fair","4"
"XONE","Destroy All Humans Review - Two Arms, Two Legs, And An Attitude","Very Good","6"
"PC, XONE, NS","Carrion Review","Great","7"
"PC","Necrobarista Review","Great","7"
"XONE, PC","Ooblets Early Access Review","Great","7"
"PC","Fight Crab Review - Battle Of The Bisque","Very Good","6"
"PC","Rocket Arena Review","Very Good","6"
"PC, PS4, NS, XONE","Superliminal Review - We Need To Go Deeper","Super","8"
"NS","Paper Mario: The Origami King Review","Super","8"
"NS","Bloodstained: Curse Of The Moon 2 Review","Super","8"
"PS4","Ghost Of Tsushima Review - You Khan Do It","Great","7"
"NS","Story Of Seasons: Friends Of Mineral Town Review - When The Seasons Change","Good","5"
"PS4","Superhot: Mind Control Delete Review - Hack 'N Slash","Great","7"
"PS4","Death Stranding Review","Excellent","9"
"PS4","CrossCode Review - A Lot Of Ambition","Very Good","6"
"NS","Deadly Premonition 2: A Blessing In Disguise Review","Good","5"
"PS4","Marvel's Iron Man VR Review - Hot Hands","Very Good","6"
"NS","Ninjala Review - Gum Up The Works","Very Good","6"
"NS","Mr. Driller Drill Land Review","Super","8"
"PC","West Of Dead Review - Rogue-lite Cowboy","Good","5"
"NS","Pokemon Sword And Shield Isle Of Armor DLC Review","Super","8"
"IOS","Slay The Spire Review - Trend Setter","Excellent","9"
"NS","Death Come True Review - Hotel Hell","Very Good","6"
"PC","Crucible Review","Good","5"
"PS4","The Last Of Us Part 2 Spoiler Review - Dog Eat Dog","Super","8"
"PS4","The Last Of Us Part 2 Spoiler-Free Review","Super","8"
"PS4","SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated Review - Expired Nostalgia","Very Bad","2"
"PC","Valorant Review - A Valiant Effort","Great","7"
"PS4","Skelattack Review - Bone-Dry","Good","5"
"PS4","Project Warlock Review - Wizard's First Doom","Very Good","6"
"PC","Disintegration Review - First-Person Strategy","Great","7"
"NS","XCOM 2 Collection For Nintendo Switch Review - Close Encounters of the Bugged Kind","Very Good","6"
"NS","The Outer Worlds For Nintendo Switch Review - Cosmic Haze","Very Good","6"
